"cell_type","caller","control","representation","path","n_peaks","mean_width_bp"
"B","MACS2","no_control","reconstructed","results/reconstructed/MACS2/narrow/no_control/H3K4me3_B_peaks.narrowPeak",7537,670.324399628499
"CD4T","MACS2","no_control","reconstructed","results/reconstructed/MACS2/narrow/no_control/H3K4me3_CD4T_peaks.narrowPeak",14446,942.682403433476
"CD8T","MACS2","no_control","reconstructed","results/reconstructed/MACS2/narrow/no_control/H3K4me3_CD8T_peaks.narrowPeak",13404,919.162414204715
"DC","MACS2","no_control","reconstructed","results/reconstructed/MACS2/narrow/no_control/H3K4me3_DC_peaks.narrowPeak",2622,547.978642257818
"Mono","MACS2","no_control","reconstructed","results/reconstructed/MACS2/narrow/no_control/H3K4me3_Mono_peaks.narrowPeak",13789,977.409021683951
"NK","MACS2","no_control","reconstructed","results/reconstructed/MACS2/narrow/no_control/H3K4me3_NK_peaks.narrowPeak",2122,519.009425070688
"other","MACS2","no_control","reconstructed","results/reconstructed/MACS2/narrow/no_control/H3K4me3_other_peaks.narrowPeak",12,419.166666666667
"otherT","MACS2","no_control","reconstructed","results/reconstructed/MACS2/narrow/no_control/H3K4me3_otherT_peaks.narrowPeak",8325,688.262942942943
"B","SICER2","no_control","reconstructed","results/reconstructed/SICER2/narrow/no_control/H3K4me3_B/peaks.bed",24189,625.067179296374
"CD4T","SICER2","no_control","reconstructed","results/reconstructed/SICER2/narrow/no_control/H3K4me3_CD4T/peaks.bed",26421,1170.50263048333
"CD8T","SICER2","no_control","reconstructed","results/reconstructed/SICER2/narrow/no_control/H3K4me3_CD8T/peaks.bed",27876,1023.99017075621
"DC","SICER2","no_control","reconstructed","results/reconstructed/SICER2/narrow/no_control/H3K4me3_DC/peaks.bed",24611,409.806590548942
"Mono","SICER2","no_control","reconstructed","results/reconstructed/SICER2/narrow/no_control/H3K4me3_Mono/peaks.bed",24622,1176.73828283649
"NK","SICER2","no_control","reconstructed","results/reconstructed/SICER2/narrow/no_control/H3K4me3_NK/peaks.bed",20982,387.177104184539
"other","SICER2","no_control","reconstructed","results/reconstructed/SICER2/narrow/no_control/H3K4me3_other/peaks.bed",19473,203.373902326298
"otherT","SICER2","no_control","reconstructed","results/reconstructed/SICER2/narrow/no_control/H3K4me3_otherT/peaks.bed",25195,658.416352450883
"B","MACS2","pseudo_input","reconstructed","results/reconstructed/MACS2/narrow/pseudo_input/H3K4me3_B_peaks.narrowPeak",222,670.013513513514
"CD4T","MACS2","pseudo_input","reconstructed","results/reconstructed/MACS2/narrow/pseudo_input/H3K4me3_CD4T_peaks.narrowPeak",430,592.574418604651
"CD8T","MACS2","pseudo_input","reconstructed","results/reconstructed/MACS2/narrow/pseudo_input/H3K4me3_CD8T_peaks.narrowPeak",191,620.717277486911
"DC","MACS2","pseudo_input","reconstructed","results/reconstructed/MACS2/narrow/pseudo_input/H3K4me3_DC_peaks.narrowPeak",8,455.875
"Mono","MACS2","pseudo_input","reconstructed","results/reconstructed/MACS2/narrow/pseudo_input/H3K4me3_Mono_peaks.narrowPeak",2548,911.598116169545
"NK","MACS2","pseudo_input","reconstructed","results/reconstructed/MACS2/narrow/pseudo_input/H3K4me3_NK_peaks.narrowPeak",3,637.333333333333
"other","MACS2","pseudo_input","reconstructed","results/reconstructed/MACS2/narrow/pseudo_input/H3K4me3_other_peaks.narrowPeak",0,NA
"otherT","MACS2","pseudo_input","reconstructed","results/reconstructed/MACS2/narrow/pseudo_input/H3K4me3_otherT_peaks.narrowPeak",10,516.3
"B","SICER2","pseudo_input","reconstructed","results/reconstructed/SICER2/narrow/pseudo_input/H3K4me3_B/peaks.bed",0,NA
"CD4T","SICER2","pseudo_input","reconstructed","results/reconstructed/SICER2/narrow/pseudo_input/H3K4me3_CD4T/peaks.bed",0,NA
"CD8T","SICER2","pseudo_input","reconstructed","results/reconstructed/SICER2/narrow/pseudo_input/H3K4me3_CD8T/peaks.bed",0,NA
"DC","SICER2","pseudo_input","reconstructed","results/reconstructed/SICER2/narrow/pseudo_input/H3K4me3_DC/peaks.bed",0,NA
"Mono","SICER2","pseudo_input","reconstructed","results/reconstructed/SICER2/narrow/pseudo_input/H3K4me3_Mono/peaks.bed",0,NA
"NK","SICER2","pseudo_input","reconstructed","results/reconstructed/SICER2/narrow/pseudo_input/H3K4me3_NK/peaks.bed",0,NA
"other","SICER2","pseudo_input","reconstructed","results/reconstructed/SICER2/narrow/pseudo_input/H3K4me3_other/peaks.bed",0,NA
"otherT","SICER2","pseudo_input","reconstructed","results/reconstructed/SICER2/narrow/pseudo_input/H3K4me3_otherT/peaks.bed",0,NA
